City,Parks Area,Parks per 1000 People
"Elk Grove,California",7.48,1.88
"North Highlands,California",0.41,0.06
"Rohnert Park,California",,
"Culver City,California",3.01,0.30
"Cupertino,California",9.55,1.74
"Cypress,California",9.92,1.58
"Davis,California",22.47,4.94
"Dana Point,California",,
"Long Beach,California",12.94,0.59
"Richmond,California",19.16,1.86
"Crescent City,California",,
"Loomis,California",1.14,0.77
"Delhi,California",4.52,1.44
"Tracy,California",15.38,3.55
"Clarksburg,California",,
"Denair,California",0.00,0.00
"Edwards,California",0.00,0.00
"Desert Hot Springs,California",10.47,1.96
"Diamond Bar,California",1.62,0.54
"Pomona,California",4.36,0.66
"Dinuba,California",13.62,3.95
"Sylmar,California",0.08,0.01
"Dixon,California",33.71,9.36
"La Grange,California",160.40,739.19
"Dos Palos,California",,
"Goleta,California",,
"Downey,California",0.96,0.12
"Wilmington,California",1.40,0.13
"Duarte,California",26.03,5.98
"Dublin,California",,
"Dunsmuir,California",,
"Durham,California",4.22,3.86
"Hayward,California",3.89,0.46
"Trowbridge,California",0.00,0.00
"Manteca,California",,
"North Hollywood,California",1.51,0.13
"West Covina,California",9.11,1.35
"Rialto,California",,
"Oceanside,California",,
"South San Francisco,California",6.01,0.64
"Woodland Hills,California",,
"Lakeside,California",57.41,11.42
"Merced,California",,
"El Cerrito,California",,
"Visalia,California",18.18,6.05
"Placentia,California",5.84,0.91
"Orange,California",5.81,0.87
"Forestville,California",7.91,8.12
"Pico Rivera,California",,
"Lake Forest,California",1.09,0.69
"Eastvale,California",0.00,0.00
"Cudahy,California",,
"Santa Rosa,California",18.18,4.74
"Wildomar,California",0.00,0.00
"Emeryville,California",0.44,0.08
"Redding,California",32.65,11.91
"Lawndale,California",2.12,0.17
"Santa Maria,California",,
"Escalon,California",,
"Esparto,California",10.20,4.62
"Etiwanda,California",0.00,0.00
"Etna,California",5.99,8.22
"Redwood City,California",11.83,1.31
"Exeter,California",16.10,3.74
"Mcarthur,California",,
"Fallbrook,California",3.08,0.52
"Farmersville,California",,
"Ferndale,California",0.00,0.00
"Fillmore,California",,
"Firebaugh,California",,
"Folsom,California",36.07,9.17
"Palo Cedro,California",9.69,37.71
"Nevada City,California",8.58,5.31
"Foresthill,California",0.00,0.00
"Fort Bragg,California",,
"Fortuna,California",0.64,0.18
"Fountain Valley,California",,
"Fowler,California",,
"Lebec,California",0.00,0.00
"Oakley,California",,
"Sunnyvale,California",17.39,2.88
"Fullerton,California",14.76,2.47
"San Gabriel,California",9.41,1.25
"Galt,California",15.52,4.74
"Gardena,California",1.28,0.18
"Geyserville,California",0.00,0.00
"Oakhurst,California",0.00,0.00
"Hacienda Heights,California",,
"Glendale,California",,
"Glendora,California",12.99,2.21
"Garden Valley,California",20.42,189.12
"Gonzales,California",15.66,4.11
"Livermore,California",74.07,16.62
"Granada Hills,California",,
"Grand Terrace,California",10.20,2.36
"Granite Bay,California",0.06,0.04
"Porterville,California",,
"Jamul,California",,
"Greenfield,California",5.59,1.66
"Gridley,California",15.79,4.28
"Vista,California",,
"Gustine,California",,
"Half Moon Bay,California",8.54,2.36
"Sanger,California",,
"Anza,California",0.00,0.00
"Hamilton City,California",,
"Hanford,California",5.50,1.52
"Happy Camp,California",232.16,1005.04
"Hawthorne,California",6.64,0.48
"Healdsburg,California",3.07,1.15
"Hollywood,California",5.15,0.37
"La Mesa,California",20.88,4.50
"Palo Alto,California",14.89,2.07
"Hercules,California",10.67,2.41
"Brentwood,California",10.30,2.33
"Menifee,California",,
"Rio Linda,California",61.09,19.49
"Moorpark,California",10.66,2.64
"San Marcos,California",8.28,1.66
"Hilmar,California",,
"Hollister,California",11.83,2.27
"Holtville,California",,
"Hoopa,California",0.00,0.00
"Lincoln,California",21.35,7.84
"Hughson,California",16.51,4.73
"Harbor City,California",22.38,2.06
"Acton,California",46.58,90.28
"Imperial,California",5.02,1.06
"Roseville,California",28.45,8.28
"Lodi,California",,
"Indio,California",16.74,5.94
"South Gate,California",4.61,0.30
"Union City,California",,
"North Hills,California",,
"Daly City,California",0.00,0.00
"Vallejo,California",65.14,14.16
"Rowland Heights,California",0.00,0.00
"La Palma,California",,
"Norco,California",4.00,1.53
"Norwalk,California",14.42,2.04
"Sun Valley,California",4.31,1.42
"Turlock,California",7.41,1.61
"Crockett,California",,
"Julian,California",15.42,77.11
"Mira Loma,California",,
"Lake Elsinore,California",15.33,3.79
"Kelseyville,California",3.68,1.93
"Kerman,California",,
"Lake Isabella,California",75.11,70.39
"King City,California",,
"Kingsburg,California",6.88,2.46
"La Canada,California",,
"La Habra,California",19.11,2.11
"La Jolla,California",43.08,28.01
"La Mirada,California",,
"La Quinta,California",1.36,0.25
"Westminster,California",8.43,0.92
"Laguna Beach,California",79.95,27.41
"Laguna Hills,California",2.26,0.42
"Walnut Creek,California",16.88,2.31
"Oroville,California",19.20,9.07
"Susanville,California",,
"Lathrop,California",,
"Laton,California",4.12,4.34
"Laytonville,California",0.00,0.00
"Le Grand,California",0.00,0.00
"Lee Vining,California",388.86,3411.07
"Lemoore,California",4.94,1.42
"Madera,California",4.00,0.86
"Linden,California",0.00,0.00
"Olivehurst,California",0.52,0.17
"Lindsay,California",8.67,1.83
"Alpine,California",,
"Littlerock,California",,
"Live Oak,California",15.97,4.09
"Livingston,California",,
"Lone Pine,California",,
"Los Alamitos,California",17.46,3.37
"Los Altos,California",0.00,0.00
"Los Banos,California",,
"Los Gatos,California",4.64,1.79
"Rancho Cucamonga,California",0.00,0.00
"Lower Lake,California",0.93,2.33
"Loyalton,California",8.34,10.14
"Lucerne Valley,California",,
"Lynwood,California",37.42,3.42
"Auburn,California",8.01,2.77
"Malibu,California",,
"Mammoth Lakes,California",,
"Imperial Beach,California",23.11,2.84
"Marina,California",13.46,2.82
"Mariposa,California",124.96,514.26
"Petrolia,California",0.00,0.00
"Maxwell,California",0.00,0.00
"Maywood,California",0.15,0.02
"Mcfarland,California",11.67,2.15
"Mckinleyville,California",0.27,0.10
"Mendocino,California",105.37,331.37
"Mendota,California",11.29,2.79
"Atherton,California",19.62,11.34
"Citrus Heights,California",15.96,2.63
"Murrieta,California",,
"San Pablo,California",,
"Middletown,California",,
"Piedmont,California",52.84,9.74
"Millbrae,California",10.83,1.39
"Milpitas,California",3.78,1.07
"Oneals,California",0.00,0.00
"Manhattan Beach,California",,
"Orinda,California",,
"Tulare,California",7.06,2.76
"Alturas,California",14.84,12.47
"Mojave,California",3.03,2.61
"Monrovia,California",,
"Montclair,California",3.95,0.69
"Danville,California",,
"Spring Valley,California",,
"Monterey,California",,
"Morro Bay,California",5.42,2.29
"Mount Shasta,California",18.93,13.01
"San Jacinto,California",9.23,1.38
"Mountain House,California",50.29,8.35
"Ramona,California",0.00,0.00
"Mountain View,California",14.73,1.95
"El Dorado,California",0.00,0.00
"Napa,California",21.64,5.17
"Needles,California",17.44,27.81
"Newark,California",9.84,1.33
"Newbury Park,California",6.23,2.37
"Ojai,California",27.62,9.78
"Torrance,California",5.36,1.07
"Castroville,California",6.46,1.39
"Tahoe City,California",66.49,275.90
"Northridge,California",0.00,0.00
"Coachella,California",2.34,0.70
"Novato,California",,
"Nuevo,California",0.00,0.00
"Oak Hills,California",,
"Oak Park,California",133.88,40.37
"El Dorado Hills,California",27.48,12.03
"Oakdale,California",12.24,2.57
"Pacifica,California",,
"Irwindale,California",21.54,83.16
"Valencia,California",141.46,49.76
"Carmichael,California",10.59,2.44
"Orange Cove,California",3.06,1.00
"Orcutt,California",5.47,1.96
"Newman,California",10.97,2.38
"Orland,California",14.22,5.98
"Orosi,California",0.00,0.00
"Tustin,California",8.94,1.67
"Pacific Grove,California",,
"Big Sur,California",0.00,0.00
"Pacific Palisade,California",60.43,14.85
"Palm Desert,California",54.07,11.88
"Palm Springs,California",79.80,92.89
"Blythe,California",25.25,9.78
"Palos Verdes Estate,California",138.24,75.05
"Rolling Hills Estat,California",22.80,13.78
"Panorama City,California",6.00,0.48
"Paradise,California",9.77,26.33
"Paramount,California",0.00,0.00
"Parlier,California",,
"Paso Robles,California",6.66,2.89
"Patterson,California",2.32,0.67
"Pescadero,California",0.00,0.00
"Arbuckle,California",7.18,4.07
"Pinole,California",10.78,4.06
"Woodland,California",7.39,1.34
"Pittsburg,California",26.94,4.42
"Quincy,California",0.00,0.00
"Point Arena,California",3.89,14.10
"Shingle Springs,California",36.34,61.80
"San Pedro,California",5.09,0.32
"Portola,California",17.48,13.13
"Potter Valley,California",0.00,0.00
"Poway,California",,
"Saratoga,California",14.85,6.10
"Quartz Hill,California",0.00,0.00
"Rolling Hills,California",24.88,28.18
"Rancho Mirage,California",11.63,10.84
"Red Bluff,California",,
"Redondo Beach,California",27.45,3.60
"Ukiah,California",2.65,0.66
"Larkspur,California",69.12,23.64
"Reedley,California",10.13,4.57
"Lake Arrowhead,California",0.00,0.00
"Rio Vista,California",,
"West Sacramento,California",13.18,5.18
"Yuba City,California",12.05,2.31
"Riverbank,California",6.08,1.66
"Jurupa Valley,California",6.47,2.21
"Riverdale,California",0.00,0.00
"Oro Grande,California",0.00,0.00
"Rocklin,California",150.99,58.41
"Rosamond,California",,
"Rosemead,California",3.30,0.41
"Covelo,California",0.00,0.00
"Saint Helena,California",9.61,3.61
"San Clemente,California",4.95,0.73
"Encinitas,California",35.87,11.92
"San Dimas,California",,
"San Leandro,California",6.47,0.73
"Felton,California",59.36,47.76
"San Luis Obispo,California",,
"San Marino,California",41.98,11.76
"Winterhaven,California",0.00,0.00
"San Rafael,California",70.02,15.45
"Castaic,California",0.00,0.00
"Santa Fe Springs,California",14.77,2.83
"Santa Monica,California",,
"Santa Paula,California",8.64,1.36
"Solvang,California",,
"Santee,California",8.57,2.04
"Saugus,California",1.92,0.41
"Scotts Valley,California",37.44,25.02
"Seaside,California",80.09,16.49
"Selma,California",14.64,3.48
"Phelan,California",1.97,4.06
"Shafter,California",,
"Tollhouse,California",0.00,0.00
"Yermo,California",,
"Soledad,California",11.69,2.65
"Sonoma,California",90.11,33.31
"Sonora,California",3.61,1.69
"Soquel,California",54.39,19.48
"South El Monte,California",30.70,6.62
"Miranda,California",166.52,601.15
"South Pasadena,California",11.74,1.75
"Nicolaus,California",53.44,1619.45
"South Lake Tahoe,California",21.77,12.11
"Olympic Valley,California",22.97,132.79
"Tuolumne,California",3.61,1.69
"Cedarville,California",4.12,11.64
"Sutter,California",0.00,0.00
"National City,California",27.59,4.05
"Taft,California",143.19,44.28
"Truckee,California",,
"Mill Valley,California",18.68,4.55
"Tehachapi,California",15.53,8.28
"Winchester,California",15.85,11.52
"Temple City,California",3.00,0.41
"Templeton,California",5.19,2.10
"Rancho San Margarit,California",8.15,1.21
"Tomales,California",,
"Tranquillity,California",0.00,0.00
"Weaverville,California",33.51,32.22
"Tulelake,California",5.18,6.64
"Twentynine Palms,California",0.00,0.00
"Upland,California",0.00,0.00
"Upper Lake,California",8.59,9.58
"Valley Center,California",20.76,80.76
"Tujunga,California",1.14,0.10
"Villa Park,California",0.00,0.00
"Walnut,California",14.42,5.90
"Warner Springs,California",0.00,0.00
"Wasco,California",7.25,1.46
"Weed,California",65.90,0.00
"Cottonwood,California",0.00,0.00
"Wheatland,California",4.50,2.54
"Newhall,California",47.09,9.63
"Williams,California",,
"Willits,California",18.78,7.38
"Willows,California",11.98,4.33
"Windsor,California",,
"Winters,California",,
"Woodlake,California",13.89,2.91
"Woodside,California",0.00,0.00
"City Of Industry,California",0.46,0.21
"Yreka,California",13.97,8.34
"Yucaipa,California",0.96,0.20
"Yucca Valley,California",0.39,0.19
